"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","地方入国管理局・支局・出張所 コード","地方入国管理局・支局・出張所 補助コード","地方入国管理局・支局・出張所","/在留資格審査の受理・処理","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50480","","京都出張所","","229","1","228","228","223","0","5","***","14,575","421","14,154","14,080","14,012","4","64","***","3,869","232","3,637","3,504","3,385","27","92","***","9,006","4","9,002","8,997","8,990","0","7","***","454","0","454","454","454","0","0","***","886","262","624","414","295","105","14","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50490","","舞鶴港出張所","","21","1","20","21","20","0","1","***","614","34","580","583","569","2","12","***","104","7","97","92","87","3","2","***","136","0","136","136","136","0","0","***","22","0","22","22","22","0","0","***","70","16","54","41","23","18","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50520","","奈良出張所","","67","1","66","66","63","0","3","***","2,387","135","2,252","2,199","2,185","0","14","***","610","68","542","572","559","2","11","***","799","0","799","799","798","0","1","***","125","0","125","125","125","0","0","***","186","55","131","116","74","35","7","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50530","","和歌山出張所","","16","0","16","16","15","0","1","***","1,185","46","1,139","1,108","1,101","1","6","***","389","30","359","368","355","3","10","***","307","0","307","307","307","0","0","***","52","0","52","52","52","0","0","***","89","28","61","73","52","17","4","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50540","","姫路港出張所","","137","1","136","134","120","0","14","***","3,053","181","2,872","2,831","2,796","1","34","***","869","132","737","771","751","2","18","***","632","1","631","632","631","0","1","***","157","0","157","157","157","0","0","***","327","90","237","213","136","62","15","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50550","","広島出入国在留管理局管内","","685","5","680","679","592","0","87","***","47,701","2,098","45,603","44,468","44,104","14","350","***","25,465","3,256","22,209","23,000","22,475","68","457","***","8,891","42","8,849","8,791","8,773","2","16","***","1,019","0","1,019","1,019","1,019","0","0","***","2,399","493","1,906","1,926","1,312","556","58","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50560","","広島出入国在留管理局","","253","3","250","252","196","0","56","***","29,343","1,242","28,101","27,051","26,837","5","209","***","18,088","2,498","15,590","16,217","15,883","38","296","***","2,863","40","2,823","2,769","2,761","1","7","***","347","0","347","347","347","0","0","***","1,111","240","871","863","555","284","24","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50570","","境港出張所","","19","0","19","18","17","0","1","***","691","43","648","635","617","0","18","***","308","43","265","279","272","3","4","***","198","0","198","198","194","1","3","***","15","0","15","15","15","0","0","***","60","16","44","38","26","12","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50580","","松江出張所","","93","2","91","92","88","0","4","***","1,405","65","1,340","1,362","1,347","5","10","***","245","15","230","231","225","4","2","***","339","0","339","338","338","0","0","***","199","0","199","199","199","0","0","***","345","82","263","284","249","30","5","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50590","","岡山出張所","","176","0","176","176","155","0","21","***","6,669","188","6,481","6,399","6,355","0","44","***","2,722","261","2,461","2,530","2,450","9","71","***","2,652","0","2,652","2,650","2,646","0","4","***","251","0","251","251","251","0","0","***","532","105","427","454","269","163","22","***"
